id,principle,domain,mechanism,use_when,diagnostic_questions,landmine,tradeoff,evidence_type,supporting_guests,counterpoint_guests,audit_verdict
PJ-001,Diagnose the problem before proposing the solution.,user_problem_discovery,Premature solutions bake in untested assumptions about what is actually broken.,product feedback | feature requests | teardown friction,What user problem is the proposed feature actually solving? | What evidence says that is the problem rather than one possible solution?,Turning feedback directly into features.,problem diagnosis vs solution speed,strong_consensus,Ian McAllister | Bill Carr | Marty Cagan | Dharmesh Shah | Laura Schaffer,,KEEP
PJ-002,Define the target user and outcome before synthesizing conflicting feedback.,user_problem_discovery,Feedback only becomes comparable when it is interpreted against the same user and outcome.,conflicting stakeholder feedback | broad products | segmentation,Who exactly is the target user? | Which problem matters most for that user? | Which feedback is irrelevant for this target?,Averaging contradictory feedback into a compromised product.,breadth vs focus,repeated_pattern,Julie Zhuo | Annie Pearl | Jake Knapp | Daniel Lereya,,KEEP_REFRAME
PJ-003,Retention among users who reach core value is stronger evidence of product-market fit than acquisition alone.,pmf_0to1,Acquisition or signup can mask weak value; retention after value exposure is harder to fake.,0→1 products | PMF diagnosis | growth readiness,"Which users have actually experienced core value? | Do those users retain? | If onboarding friction vanished, would the product itself still be compelling?",Mistaking acquisition or onboarding completion for product-market fit.,access friction vs core value,repeated_pattern,Sean Ellis | Todd Jackson | Nikita Bier | Gustaf Alströmer,,KEEP_REFRAME
PJ-004,Do not pour acquisition into a leaky product before fixing product-market fit and retention.,strategy_competitive_advantage,More top-of-funnel volume amplifies downstream leakage instead of creating durable growth.,growth planning | demand generation | funnel diagnosis,Where is the largest leak in the funnel? | Are retained users satisfied enough to justify scaling acquisition?,Hiring demand generation to compensate for weak product-market fit.,growth speed vs foundation,repeated_pattern,Krithika Shankarraman | Todd Jackson,Casey Winters,KEEP
PJ-005,"Define activation around the moment a user experiences value, then design onboarding backward from it.",activation_onboarding,A concrete value event gives the team a goalpost for removing friction and accelerating learning.,onboarding | self-serve | freemium | PLG,What is the aha moment? | What behavior best predicts later retention? | How quickly can a new user reach it?,Optimizing onboarding completion instead of value realization.,guidance vs friction,strong_consensus,Hila Qu | Ben Williams | Sean Ellis | Lauryn Isford,,KEEP
PJ-006,Shorten time-to-value by letting users experience useful behavior before requiring full understanding or setup.,activation_onboarding,Hands-on value creates understanding faster than explanation-heavy onboarding.,PLG | trials | playgrounds | complex software,"Can users experience value with a template, sample, or warm start? | What setup can be deferred?",Teaching the product before letting users use it.,education vs immediate utility,repeated_pattern,Lauryn Isford | Shishir Mehrotra | Hila Qu,,KEEP_REFRAME
PJ-007,"Judge retention with cohorts and curves, not just aggregate engagement.",engagement_retention,"Aggregate usage can hide whether successive cohorts are stabilizing, decaying, or improving.",retention diagnosis | subscriptions | consumer products,Where does the retention curve flatten? | Are newer cohorts better than older ones? | Which retained behavior represents recurring value?,Using DAU/MAU or total usage as proof of retention quality.,frequency vs durable value,strong_consensus,Josh Miller | Brian Balfour | Elena Verna | Adam Fishman,,KEEP
PJ-008,"Treat distribution as a product constraint, not a post-launch marketing task.",growth_distribution,"A product whose natural users cannot discover, adopt, or share it has a structurally weaker growth model.",0→1 | growth strategy | launches,Where do target users already spend attention? | What behavior creates the next user? | Does the product itself create distribution?,Building a product first and assuming acquisition can be bolted on later.,product purity vs distribution leverage,repeated_pattern,Elena Verna | Luc Levesque | Casey Winters | Manik Gupta,,KEEP
PJ-009,Prefer pricing metrics that rise with customer value when the product supports a credible value-linked unit.,monetization_pricing,"The unit you charge on shapes expansion, willingness to pay, and whether customer success aligns with vendor revenue.",SaaS pricing | packaging | monetization,What unit best tracks customer value? | Does customer success naturally increase what they pay? | Can the metric be understood and predicted?,Choosing a convenient billing unit that is disconnected from value.,simplicity vs value alignment,repeated_pattern,Patrick Campbell | Madhavan Ramanujam | Julia Schottenstein | Eoghan McCabe,,KEEP_REFRAME
PJ-010,"Pricing is part of strategy, not an independent knob.",strategy_competitive_advantage,"Price changes alter positioning, target customer, sales motion, product expectations, and competitive set.",pricing changes | repositioning | GTM shifts,"If price changes, what else in the strategy must change? | Which customer segment does this price imply?",Optimizing price in isolation from product and go-to-market.,revenue capture vs strategic coherence,repeated_pattern,Jason Cohen | Melissa Tan | Jeanne DeWitt Grosser | Shishir Mehrotra,,KEEP
PJ-011,Your product architecture often determines whether the motion can be product-led or must be sales-led.,b2b_go_to_market,"Required permissions, integrations, security, and buyer authority can force an enterprise buying motion regardless of growth preference.",B2B | PLG | enterprise software,"Can an individual user adopt without executive approval? | Does setup require privileged integrations or sensitive data access? | Who uses, buys, and approves?",Choosing PLG because it is fashionable when adoption structurally requires top-down approval.,self-serve scale vs enterprise control,repeated_pattern,Eeke de Milliano | Shishir Mehrotra | Claire Vo | Elena Verna | Merci Grace,,KEEP
PJ-012,Fix positioning before rewriting the sales pitch.,b2b_go_to_market,A weak pitch is often downstream of an unclear differentiated value proposition.,B2B conversion | sales enablement | repositioning,Can the target customer explain why this is different? | Is the value proposition specific to a competitive alternative?,Treating messaging symptoms while leaving positioning ambiguous.,broad appeal vs differentiated position,expert_pov,April Dunford | Rahul Vohra,,KEEP_AS_LENS
PJ-013,Prioritization is primarily the discipline of saying no to work that dilutes the critical journey.,prioritization_scope,"Every additional feature creates product, cognitive, and maintenance surface area; value does not scale linearly with feature count.",roadmaps | feature requests | mature products,Which user journey must be exceptional? | What would break if we did not build this? | What existing complexity does this add to?,Equating responsiveness to requests with product quality.,breadth vs coherence,strong_consensus,Manik Gupta | Melissa Perri | Marty Cagan | Ian McAllister,,KEEP
PJ-014,"Strategy is a set of choices about where to concentrate advantage, not a list of initiatives.",strategy_competitive_advantage,A strategy becomes useful when it makes some attractive options explicitly less important than the chosen path.,strategy reviews | roadmap planning | competitive analysis,What are we choosing to win on? | What are we explicitly not doing? | What must be true for this choice to work?,Calling a roadmap or aspiration a strategy.,optionality vs concentration,repeated_pattern,Georgiana Laudi | Jason Shah | Ravi Mehta,,KEEP
PJ-015,Turn strategic uncertainty into explicit hypotheses you can test quickly.,strategy_competitive_advantage,"Fast, structured experiments convert abstract debate into evidence and make strategy adaptive rather than rhetorical.",uncertain markets | 0→1 bets | strategy execution,What assumption determines whether this strategy works? | What is the cheapest credible test? | What result changes the decision?,Using strategy frameworks to avoid testing assumptions.,directional conviction vs empirical learning,repeated_pattern,Mayur Kamat | Christina Wodtke | Yuriy Timen,,KEEP
PJ-016,"Product quality requires explicit end-to-end ownership and a team-level quality bar, not just final-stage polish.",product_design_quality,"Quality degrades when nobody feels accountable for the whole experience, even if individual requirements are met.",product quality | design critique | mature products,Who is accountable for the end-to-end experience? | What quality bar would the team defend even if metrics were neutral?,Treating quality as polish delegated to design at the end.,measurable output vs product craft,repeated_pattern,Tobi Lütke | Karri Saarinen | Katie Dill,,KEEP_REFRAME
PJ-017,"Treat speed, quality, and cost as a context-dependent tension: strong teams can improve more than one, but cannot assume tradeoffs disappear.",product_execution_velocity,"Cutting corners creates rework, while better judgment, tooling, and smaller tests reduce cycle time without degrading the product.",shipping velocity | MVP debates | engineering/product execution,What is actually slowing learning? | Which work is waste versus necessary quality? | Can we reduce scope without reducing integrity?,Using urgency as permission for sloppy product decisions.,learning speed vs completeness,contested,Wes Kao | Gustaf Alströmer | Nickey Skarstad,Sri Batchu,KEEP_AS_TENSION
PJ-018,"Use competitor patterns to learn conventions and mechanisms, not as a blueprint for what your product should become.",strategy_competitive_advantage,"Competitive patterns can reveal established interaction conventions, but copying them imports assumptions that may not fit your users or advantage.",competitive teardowns | feature design | mature categories,What pattern is common across competitors? | Why does it exist? | Which parts apply to our user and which do not?,Copying a competitor feature without understanding its mechanism.,category convention vs differentiation,expert_pov,Elena Verna,,KEEP_AS_LENS
PJ-019,"Treat an AI prototype as evidence of possibility, not production readiness; validate reliability, domain correctness, observability, and failure modes.",ai_data_personalization,AI systems behave probabilistically and encounter long-tail inputs that prototypes do not expose.,AI features | agents | productionization,What can the model reliably do today? | Which failures matter most? | Which subject-matter experts define correctness? | How will failures be observed?,Assuming a vibe-coded prototype proves production feasibility.,capability ambition vs reliability,repeated_pattern,Aishwarya Naresh Reganti | Elizabeth Stone,,KEEP_REFRAME
PJ-020,Use human review when AI errors are costly or hard to verify; reduce it when outputs can be reliably checked or automated safeguards are sufficient.,ai_data_personalization,"Human review provides judgment, escalation, and feedback where model confidence is insufficient.",AI copilots | agents | high-stakes workflows,What decisions can AI make autonomously? | What confidence or risk threshold triggers review? | How does human feedback improve the system?,Promoting a copilot to autopilot without defining failure boundaries.,automation vs control,contested,Inbal Shani | Aishwarya Naresh Reganti,Benjamin Mann,KEEP_AS_TENSION
